name,stars,title,reviews,ASIN
Melissa Dumas,5.0 out of 5 stars,Great mouse!,"This mouse is pretty awesome! The colors are vibrant and fun, quality feels good and it does its job. Definitely recommend.",
Curtis,5.0 out of 5 stars,nice!,great mouse. not to small or big has plenty of buttons and moves very smooth,
Jesus O. martinez,5.0 out of 5 stars,Great mouse,No complaints works great and is very presise..,
dustin stover,1.0 out of 5 stars,It works like crap,Its prob the worst mouse ive ever had,
Debora B,5.0 out of 5 stars,Comfortable and light,Comfortable to use and very accurate. Great value for the money.,
Sam Tahsin,5.0 out of 5 stars,Amazing for the price,"Works well, cool LED, has gaming qualities",
MoistUnCritical,1.0 out of 5 stars,Worked for a few months,Its not worth it for the few months it lasted.,
Diego Rodríguez Reyna,5.0 out of 5 stars,,"Es un excelente producto, en este caso se usa para algo cotidiano y excede las expectativas por el cual se comrpó pero estuvo genial la compra.",
veronica r.,4.0 out of 5 stars,,es útil y práctico,
Pablo,5.0 out of 5 stars,,"Realmente estoy sorprendido. Creo que este Mouse es excelente, me gustó mucho. Sí se siente gamer, sí se ve bonito, funciona muy bien. A mí parecer es de lo mejor que he comprado en relación calidad-precio. Yo sí lo recomiendo.",
Vincent M.,1.0 out of 5 stars,,Good product but it stopped working after 2 weeks.,
Vincelette,1.0 out of 5 stars,,"At 144Hz, the mouse jitters.",
Anthony Ference,5.0 out of 5 stars,,It works great,
Daniel-Jacques Usain,5.0 out of 5 stars,,Rapport qualité prix incroyable. Vraiment une bonne souris pour le prix,
Renee Therrien,5.0 out of 5 stars,,J'aime bien la forme elle tiens bien dans la main et les lumières ne font que la rendre plus belle ;-),
Justin,5.0 out of 5 stars,,"Es muy comodo y suave, esta genial lo de las luces que indican el dpi y sobre todo es efectivo para los juegos fps (first person shooter) y es ligero",
